int_down,pay_freq,year,payment,amount,total_payment,balance,loan_paid_to_date,,
35_25,biweekly,2026.00,interest,17585.11,27679.71,314441.78,0.16,,
35_25,biweekly,2027.00,interest,17014.98,27679.71,303777.04,0.19,,
35_25,biweekly,2028.00,interest,16412.64,27679.71,292509.97,0.22,,
35_25,biweekly,2029.00,interest,15776.29,27679.71,280606.54,0.25,,
35_25,biweekly,2030.00,interest,15103.99,27679.71,268030.82,0.29,,
35_25,biweekly,2031.00,interest,14932.61,28744.32,254219.11,0.32,,
35_25,biweekly,2032.00,interest,13613.65,27679.71,240153.04,0.36,,
35_25,biweekly,2033.00,interest,12819.21,27679.71,225292.54,0.40,,
35_25,biweekly,2034.00,interest,11979.90,27679.71,209592.72,0.44,,
35_25,biweekly,2035.00,interest,11093.18,27679.71,193006.19,0.49,,
35_25,biweekly,2036.00,interest,10156.39,27679.71,175482.87,0.53,,
35_25,biweekly,2037.00,interest,9166.69,27679.71,156969.84,0.58,,
35_25,biweekly,2038.00,interest,8121.08,27679.71,137411.21,0.63,,
35_25,biweekly,2039.00,interest,7016.43,27679.71,116747.92,0.69,,
35_25,biweekly,2040.00,interest,5849.38,27679.71,94917.59,0.75,,
35_25,biweekly,2041.00,interest,4616.42,27679.71,71854.29,0.81,,
35_25,biweekly,2042.00,interest,3414.28,28744.32,46524.25,0.88,,
35_25,biweekly,2043.00,interest,1883.20,27679.71,20727.74,0.94,,
35_25,biweekly,2044.00,interest,461.42,21189.16,0.00,1.00,,
