int_down,pay_freq,year,payment,amount,total_payment,balance,loan_paid_to_date,,
25,yearly,2020,principal,5051.59,25550.51,369948.41,1.35%,,
25,yearly,2021,principal,5336.53,25550.51,364611.88,2.77%,,
25,yearly,2022,principal,5637.56,25550.51,358974.32,4.27%,,
25,yearly,2023,principal,5955.56,25550.51,353018.76,5.86%,,
25,yearly,2024,principal,6291.50,25550.51,346727.26,7.54%,,
25,yearly,2025,principal,6646.39,25550.51,340080.87,9.31%,,
25,yearly,2026,principal,7021.30,25550.51,333059.57,11.18%,,
25,yearly,2027,principal,7417.36,25550.51,325642.22,13.16%,,
25,yearly,2028,principal,7835.75,25550.51,317806.47,15.25%,,
25,yearly,2029,principal,8277.75,25550.51,309528.72,17.46%,,
25,yearly,2030,principal,8744.68,25550.51,300784.04,19.79%,,
25,yearly,2031,principal,9237.95,25550.51,291546.09,22.25%,,
25,yearly,2032,principal,9759.04,25550.51,281787.04,24.86%,,
25,yearly,2033,principal,10309.53,25550.51,271477.52,27.61%,,
25,yearly,2034,principal,10891.07,25550.51,260586.45,30.51%,,
25,yearly,2035,principal,11505.41,25550.51,249081.04,33.58%,,
25,yearly,2036,principal,12154.40,25550.51,236926.63,36.82%,,
25,yearly,2037,principal,12840.01,25550.51,224086.63,40.24%,,
25,yearly,2038,principal,13564.29,25550.51,210522.34,43.86%,,
25,yearly,2039,principal,14329.42,25550.51,196192.92,47.68%,,
25,yearly,2040,principal,15137.71,25550.51,181055.21,51.72%,,
25,yearly,2041,principal,15991.60,25550.51,165063.62,55.98%,,
25,yearly,2042,principal,16893.65,25550.51,148169.97,60.49%,,
25,yearly,2043,principal,17846.58,25550.51,130323.39,65.25%,,
25,yearly,2044,principal,18853.27,25550.51,111470.12,70.27%,,
25,yearly,2045,principal,19916.74,25550.51,91553.37,75.59%,,
25,yearly,2046,principal,21040.20,25550.51,70513.17,81.20%,,
25,yearly,2047,principal,22227.04,25550.51,48286.13,87.12%,,
25,yearly,2048,principal,23480.82,25550.51,24805.32,93.39%,,
25,yearly,2049,principal,24805.32,25550.51,0.00,100.00%,,
25,yearly,2020,interest,20498.92,25550.51,369948.41,1.35%,,
25,yearly,2021,interest,20213.97,25550.51,364611.88,2.77%,,
25,yearly,2022,interest,19912.95,25550.51,358974.32,4.27%,,
